code,module,category,text_ru,text_kz,text_en,type,is_reverse,options
O_034,BIG5,Openness,"Я получаю удовольствие от исследований","Зерттеуден ләззат аламын","I enjoy exploring",scale,FALSE,
O_035,BIG5,Openness,"Мне интересно знакомиться с новыми людьми и идеями","Жаңа адамдармен және идеялармен танысу қызық","I enjoy meeting new people and ideas",scale,FALSE,
O_036,BIG5,Openness,"Я люблю разнообразие","Әртүрлілікті ұнатамын","I like variety",scale,FALSE,
O_037,BIG5,Openness,"Мне нравится учиться самостоятельно","Өз бетімше үйренуді ұнатамын","I like learning independently",scale,FALSE,
O_038,BIG5,Openness,"Я открыт новым знаниям","Жаңа білімге ашықпын","I am open to new knowledge",scale,FALSE,
O_039,BIG5,Openness,"Мне интересно анализировать новые концепции","Жаңа концепцияларды талдау қызық","I like analyzing new concepts",scale,FALSE,
O_040,BIG5,Openness,"Я люблю воображать возможные сценарии","Мүмкін сценарийлерді елестетуді ұнатамын","I like imagining possibilities",scale,FALSE,
O_041,BIG5,Openness,"Мне нравится придумывать проекты","Жобалар ойлап табуды ұнатамын","I like creating projects",scale,FALSE,
O_042,BIG5,Openness,"Я часто ищу вдохновение","Мен жиі шабыт іздеймін","I often seek inspiration",scale,FALSE,
O_043,BIG5,Openness,"Мне интересно изучать языки","Тілдерді үйрену маған қызық","I enjoy learning languages",scale,FALSE,
O_044,BIG5,Openness,"Я люблю размышлять о смысле вещей","Заттардың мағынасы туралы ойлануды ұнатамын","I like reflecting on meanings",scale,FALSE,
O_045,BIG5,Openness,"Мне нравится открывать для себя новое","Жаңаны ашуды ұнатамын","I like discovering new things",scale,FALSE,
O_046,BIG5,Openness,"Я получаю удовольствие от творчества","Шығармашылықтан ләззат аламын","I enjoy creativity",scale,FALSE,
O_047,BIG5,Openness,"Мне интересно искать нестандартные пути","Стандарттан тыс жолдарды іздеу маған қызық","I like seeking unconventional paths",scale,FALSE,
O_048,BIG5,Openness,"Я люблю интеллектуальные обсуждения","Интеллектуалды талқылауларды ұнатамын","I enjoy intellectual discussions",scale,FALSE,
O_049,BIG5,Openness,"Мне нравится расширять кругозор","Көкжиегімді кеңейтуді ұнатамын","I like broadening my horizons",scale,FALSE,
O_050,BIG5,Openness,"Я ценю оригинальные идеи","Түпнұсқа идеяларды бағалаймын","I value original ideas",scale,FALSE,
O_051,BIG5,Openness,"Мне интересно наблюдать за новыми трендами","Жаңа трендтерді бақылау маған қызық","I like following new trends",scale,FALSE,
O_052,BIG5,Openness,"Я люблю задаваться вопросами","Сұрақтар қоюды ұнатамын","I like questioning things",scale,FALSE,
O_053,BIG5,Openness,"Мне нравится придумывать альтернативные варианты","Балама нұсқалар ойлап табуды ұнатамын","I like inventing alternatives",scale,FALSE,
O_054,BIG5,Openness,"Я открыт к переменам","Өзгерістерге ашықпын","I am open to change",scale,FALSE,
O_055,BIG5,Openness,"Мне интересно изучать науку","Ғылымды зерттеу маған қызық","I like studying science",scale,FALSE,
O_056,BIG5,Openness,"Я люблю разбираться в сложных идеях","Күрделі идеяларды түсінуді ұнатамын","I like understanding complex ideas",scale,FALSE,
O_057,BIG5,Openness,"Мне нравится мыслить нестандартно","Стандарттан тыс ойлауды ұнатамын","I like thinking outside the box",scale,FALSE,
O_058,BIG5,Openness,"Я получаю удовольствие от новых впечатлений","Жаңа әсерлерден ләззат аламын","I enjoy new experiences",scale,FALSE,
O_059,BIG5,Openness,"Мне интересно создавать что-то новое","Жаңа нәрсе жасауды ұнатамын","I like creating something new",scale,FALSE,
O_060,BIG5,Openness,"Я люблю разнообразные задачи","Әртүрлі тапсырмаларды ұнатамын","I like diverse tasks",scale,FALSE,
O_061,BIG5,Openness,"Мне нравится изучать историю идей","Идеялар тарихын зерттеуді ұнатамын","I like studying the history of ideas",scale,FALSE,
O_062,BIG5,Openness,"Я открыт неожиданным решениям","Күтпеген шешімдерге ашықпын","I am open to unexpected solutions",scale,FALSE,
O_063,BIG5,Openness,"Мне интересно читать научно-популярные тексты","Ғылыми-көпшілік мәтіндерді оқу маған қызық","I like reading popular science texts",scale,FALSE,
O_064,BIG5,Openness,"Я люблю придумывать концепции","Тұжырымдамалар ойлап табуды ұнатамын","I like inventing concepts",scale,FALSE,
O_065,BIG5,Openness,"Мне нравится обсуждать будущее","Болашақты талқылауды ұнатамын","I like discussing the future",scale,FALSE,
O_066,BIG5,Openness,"Я получаю удовольствие от новых знаний","Жаңа білімнен ләззат аламын","I enjoy gaining new knowledge",scale,FALSE,
O_067,BIG5,Openness,"Мне интересно смотреть на вещи по-новому","Заттарға жаңаша қарау маған қызық","I like seeing things in new ways",scale,FALSE,
O_068,BIG5,Openness,"Я люблю нестандартные форматы работы","Стандарттан тыс жұмыс форматтарын ұнатамын","I like unconventional formats of work",scale,FALSE,
O_069,BIG5,Openness,"Мне нравится развивать воображение","Қиялымды дамытуды ұнатамын","I like developing my imagination",scale,FALSE,
O_070,BIG5,Openness,"Я открыт неожиданным идеям","Күтпеген идеяларға ашықпын","I am open to unexpected ideas",scale,FALSE,
O_071,BIG5,Openness,"Мне интересно знакомиться с новыми теориями","Жаңа теориялармен танысу қызық","I like learning new theories",scale,FALSE,
O_072,BIG5,Openness,"Я люблю пробовать разные методы","Әртүрлі әдістерді сынап көруді ұнатамын","I like trying different methods",scale,FALSE,
O_073,BIG5,Openness,"Мне нравится искать вдохновение в искусстве","Өнерден шабыт іздеуді ұнатамын","I like seeking inspiration in art",scale,FALSE,
O_074,BIG5,Openness,"Я получаю удовольствие от мозговых штурмов","Миға шабуылдан ләззат аламын","I enjoy brainstorming",scale,FALSE,
O_075,BIG5,Openness,"Мне интересно анализировать новые тренды","Жаңа трендтерді талдау маған қызық","I like analyzing new trends",scale,FALSE,
O_076,BIG5,Openness,"Я люблю интеллектуальное любопытство","Интеллектуалды қызығушылықты ұнатамын","I like intellectual curiosity",scale,FALSE,
O_077,BIG5,Openness,"Мне нравится изучать необычные темы","Ерекше тақырыптарды зерттеуді ұнатамын","I like studying unusual topics",scale,FALSE,
O_078,BIG5,Openness,"Я открыт экспериментальным подходам","Эксперименталды тәсілдерге ашықпын","I am open to experimental approaches",scale,FALSE,
O_079,BIG5,Openness,"Мне интересно придумывать новые форматы","Жаңа форматтар ойлап табу маған қызық","I like inventing new formats",scale,FALSE,
O_080,BIG5,Openness,"Я люблю глубокие размышления","Терең ойлануды ұнатамын","I enjoy deep thinking",scale,FALSE,
O_081,BIG5,Openness,"Мне нравится сочетать разные идеи","Әртүрлі идеяларды біріктіруді ұнатамын","I like combining different ideas",scale,FALSE,
O_082,BIG5,Openness,"Я получаю удовольствие от нестандартных проектов","Стандарттан тыс жобалардан ләззат аламын","I enjoy unconventional projects",scale,FALSE,
O_083,BIG5,Openness,"Мне интересно задавать нестандартные вопросы","Ерекше сұрақтар қою маған қызық","I like asking unconventional questions",scale,FALSE,
O_084,BIG5,Openness,"Я люблю творческие эксперименты","Шығармашылық эксперименттерді ұнатамын","I like creative experiments",scale,FALSE,
O_085,BIG5,Openness,"Мне нравится искать новые возможности","Жаңа мүмкіндіктерді іздеуді ұнатамын","I like seeking new opportunities",scale,FALSE,
O_086,BIG5,Openness,"Я открыт разным точкам зрения","Әртүрлі көзқарастарға ашықпын","I am open to different perspectives",scale,FALSE,
O_087,BIG5,Openness,"Мне интересно создавать концепции будущего","Болашақ концепцияларын жасауды ұнатамын","I like creating future concepts",scale,FALSE,
O_088,BIG5,Openness,"Я люблю интеллектуальные открытия","Интеллектуалды жаңалықтарды ұнатамын","I like intellectual discoveries",scale,FALSE,
O_089,BIG5,Openness,"Мне нравится изучать междисциплинарные темы","Пәнаралық тақырыптарды зерттеуді ұнатамын","I like interdisciplinary topics",scale,FALSE,
O_090,BIG5,Openness,"Я получаю удовольствие от нестандартного опыта","Стандарттан тыс тәжірибеден ләззат аламын","I enjoy unconventional experiences",scale,FALSE,
O_091,BIG5,Openness,"Мне интересно расширять знания","Білімімді кеңейту маған қызық","I like expanding my knowledge",scale,FALSE,
O_092,BIG5,Openness,"Я люблю разбираться в новых технологиях","Жаңа технологияларды зерттеуді ұнатамын","I like learning about new technologies",scale,FALSE,
O_093,BIG5,Openness,"Мне нравится придумывать инновации","Инновациялар ойлап табуды ұнатамын","I like inventing innovations",scale,FALSE,
O_094,BIG5,Openness,"Я открыт сложным идеям","Күрделі идеяларға ашықпын","I am open to complex ideas",scale,FALSE,
O_095,BIG5,Openness,"Мне интересно наблюдать изменения в мире","Әлемдегі өзгерістерді бақылау маған қызық","I like observing changes in the world",scale,FALSE,
O_096,BIG5,Openness,"Я люблю креативное решение проблем","Мәселелерді шығармашылықпен шешуді ұнатамын","I like creative problem solving",scale,FALSE,
O_097,BIG5,Openness,"Мне нравится пробовать разные стили работы","Әртүрлі жұмыс стильдерін сынап көруді ұнатамын","I like trying different work styles",scale,FALSE,
O_098,BIG5,Openness,"Я получаю удовольствие от новых идей","Жаңа идеялардан ләззат аламын","I enjoy new ideas",scale,FALSE,
O_099,BIG5,Openness,"Мне интересно учиться всю жизнь","Өмір бойы оқуды ұнатамын","I like lifelong learning",scale,FALSE,
O_100,BIG5,Openness,"Я люблю открывать для себя неизведанное","Белгісізді ашуды ұнатамын","I like discovering the unknown",scale,FALSE,
C_001,BIG5,Conscientiousness,"Я стараюсь выполнять задачи вовремя","Мен тапсырмаларды уақытында орындауға тырысамын","I try to complete tasks on time",scale,FALSE,
C_002,BIG5,Conscientiousness,"Мне важно доводить дела до конца","Істерді соңына дейін жеткізу мен үшін маңызды","It is important for me to finish what I start",scale,FALSE,
C_003,BIG5,Conscientiousness,"Я обычно планирую свои действия","Мен әдетте әрекеттерімді жоспарлаймын","I usually plan my actions",scale,FALSE,
C_004,BIG5,Conscientiousness,"Я стараюсь быть организованным","Мен ұйымдасқан болуға тырысамын","I try to be organized",scale,FALSE,
C_005,BIG5,Conscientiousness,"Мне важно соблюдать обязательства","Міндеттемелерді сақтау мен үшін маңызды","It is important for me to keep commitments",scale,FALSE,
C_006,BIG5,Conscientiousness,"Я редко откладываю дела на потом","Мен істерді сирек кейінге қалдырамын","I rarely procrastinate",scale,FALSE,
C_007,BIG5,Conscientiousness,"Я внимательно отношусь к деталям","Мен бөлшектерге мұқият қараймын","I pay attention to details",scale,FALSE,
C_008,BIG5,Conscientiousness,"Мне комфортно работать по плану","Жоспар бойынша жұмыс істеу маған ыңғайлы","I am comfortable working by a plan",scale,FALSE,
C_009,BIG5,Conscientiousness,"Я стараюсь выполнять работу качественно","Мен жұмысты сапалы орындауға тырысамын","I try to do my work well",scale,FALSE,
C_010,BIG5,Conscientiousness,"Я беру ответственность за свои решения","Мен өз шешімдерім үшін жауапкершілік аламын","I take responsibility for my decisions",scale,FALSE,
C_011,BIG5,Conscientiousness,"Мне важно соблюдать сроки","Мерзімдерді сақтау мен үшін маңызды","Meeting deadlines is important to me",scale,FALSE,
C_012,BIG5,Conscientiousness,"Я предпочитаю заранее готовиться","Мен алдын ала дайындалғанды қалаймын","I prefer to prepare in advance",scale,FALSE,
C_013,BIG5,Conscientiousness,"Я стараюсь работать последовательно","Мен жүйелі түрде жұмыс істеуге тырысамын","I try to work systematically",scale,FALSE,
C_014,BIG5,Conscientiousness,"Мне нравится порядок в делах","Істерде тәртіп болғанын ұнатамын","I like order in my tasks",scale,FALSE,
C_015,BIG5,Conscientiousness,"Я контролирую выполнение задач","Мен тапсырмалардың орындалуын бақылаймын","I monitor task completion",scale,FALSE,
C_016,BIG5,Conscientiousness,"Я редко забываю о договоренностях","Мен келісімдерді сирек ұмытамын","I rarely forget commitments",scale,FALSE,
C_017,BIG5,Conscientiousness,"Мне важно быть надежным","Сенімді болу мен үшін маңызды","It is important for me to be reliable",scale,FALSE,
C_018,BIG5,Conscientiousness,"Я довожу начатое до результата","Мен бастаған ісімді нәтижеге жеткіземін","I bring what I start to results",scale,FALSE,
C_019,BIG5,Conscientiousness,"Я стараюсь избегать ошибок","Мен қателіктерден қашуға тырысамын","I try to avoid mistakes",scale,FALSE,
C_020,BIG5,Conscientiousness,"Я ответственно подхожу к обязанностям","Мен міндеттерге жауапкершілікпен қараймын","I approach responsibilities responsibly",scale,FALSE,
C_021,BIG5,Conscientiousness,"Мне важно планировать время","Уақытты жоспарлау мен үшін маңызды","Time planning is important to me",scale,FALSE,
C_022,BIG5,Conscientiousness,"Я стараюсь соблюдать режим","Мен режимді сақтауға тырысамын","I try to follow a routine",scale,FALSE,
C_023,BIG5,Conscientiousness,"Я выполняю обещания","Мен уәделерімді орындаймын","I keep my promises",scale,FALSE,
C_024,BIG5,Conscientiousness,"Я предпочитаю четкие цели","Мен нақты мақсаттарды қалаймын","I prefer clear goals",scale,FALSE,
C_025,BIG5,Conscientiousness,"Я последователен в работе","Мен жұмысымда біріздімін","I am consistent in my work",scale,FALSE,
C_026,BIG5,Conscientiousness,"Мне важно контролировать процесс","Процесті бақылау мен үшін маңызды","It is important for me to control the process",scale,FALSE,
C_027,BIG5,Conscientiousness,"Я стараюсь быть дисциплинированным","Мен тәртіпті болуға тырысамын","I try to be disciplined",scale,FALSE,
C_028,BIG5,Conscientiousness,"Я обычно завершаю задачи","Мен әдетте тапсырмаларды аяқтаймын","I usually complete tasks",scale,FALSE,
C_029,BIG5,Conscientiousness,"Я серьезно отношусь к обязанностям","Мен міндеттерге байыппен қараймын","I take duties seriously",scale,FALSE,
C_030,BIG5,Conscientiousness,"Мне важно работать без спешки","Асықпай жұмыс істеу мен үшін маңызды","It is important for me to work without rushing",scale,FALSE,
C_031,BIG5,Conscientiousness,"Я предпочитаю стабильность","Мен тұрақтылықты қалаймын","I prefer stability",scale,FALSE,
C_032,BIG5,Conscientiousness,"Я заранее думаю о последствиях","Мен салдарлар туралы алдын ала ойлаймын","I think ahead about consequences",scale,FALSE,
C_033,BIG5,Conscientiousness,"Я стараюсь избегать импульсивных решений","Мен импульсивті шешімдерден қашамын","I try to avoid impulsive decisions",scale,FALSE,
C_034,BIG5,Conscientiousness,"Я люблю работать по графику","Мен кесте бойынша жұмыс істегенді ұнатамын","I like working by schedule",scale,FALSE,
C_035,BIG5,Conscientiousness,"Я ценю ответственность","Мен жауапкершілікті бағалаймын","I value responsibility",scale,FALSE,
C_036,BIG5,Conscientiousness,"Я стараюсь поддерживать порядок","Мен тәртіпті сақтауға тырысамын","I try to maintain order",scale,FALSE,
C_037,BIG5,Conscientiousness,"Я внимательно проверяю результат","Мен нәтижені мұқият тексеремін","I carefully check results",scale,FALSE,
C_038,BIG5,Conscientiousness,"Мне важно соответствовать ожиданиям","Күтілімдерге сай болу мен үшін маңызды","Meeting expectations is important to me",scale,FALSE,
C_039,BIG5,Conscientiousness,"Я редко бросаю начатое","Мен бастағанды сирек тастаймын","I rarely abandon tasks",scale,FALSE,
C_040,BIG5,Conscientiousness,"Я ориентирован на результат","Мен нәтижеге бағытталғанмын","I am result-oriented",scale,FALSE,
C_041,BIG5,Conscientiousness,"Я стараюсь работать системно","Мен жүйелі жұмыс істеуге тырысамын","I try to work systematically",scale,FALSE,
C_042,BIG5,Conscientiousness,"Я придерживаюсь договоренностей","Мен келісімдерді ұстанамын","I stick to agreements",scale,FALSE,
C_043,BIG5,Conscientiousness,"Мне важно завершать задачи полностью","Тапсырмаларды толық аяқтау маңызды","It is important to fully complete tasks",scale,FALSE,
C_044,BIG5,Conscientiousness,"Я люблю четкую структуру","Мен нақты құрылымды ұнатамын","I like clear structure",scale,FALSE,
C_045,BIG5,Conscientiousness,"Я тщательно готовлюсь к работе","Мен жұмысқа мұқият дайындаламын","I prepare carefully for work",scale,FALSE,
C_046,BIG5,Conscientiousness,"Я стараюсь работать без ошибок","Мен қателіксіз жұмыс істеуге тырысамын","I try to work without errors",scale,FALSE,
C_047,BIG5,Conscientiousness,"Мне важно соблюдать правила","Ережелерді сақтау мен үшін маңызды","It is important for me to follow rules",scale,FALSE,
C_048,BIG5,Conscientiousness,"Я предпочитаю продуманные решения","Мен ойластырылған шешімдерді қалаймын","I prefer well-thought-out decisions",scale,FALSE,
C_049,BIG5,Conscientiousness,"Я стараюсь быть аккуратным","Мен ұқыпты болуға тырысамын","I try to be neat",scale,FALSE,
C_050,BIG5,Conscientiousness,"Я надежен в работе","Мен жұмыста сенімдімін","I am reliable at work",scale,FALSE,
C_051,BIG5,Conscientiousness,"Я заранее распределяю задачи","Мен тапсырмаларды алдын ала бөлемін","I distribute tasks in advance",scale,FALSE,
C_052,BIG5,Conscientiousness,"Мне важно соблюдать дисциплину","Тәртіпті сақтау маңызды","Discipline is important to me",scale,FALSE,
C_053,BIG5,Conscientiousness,"Я редко действую спонтанно","Мен сирек спонтанды әрекет етемін","I rarely act spontaneously",scale,FALSE,
C_054,BIG5,Conscientiousness,"Я предпочитаю надежные методы","Мен сенімді әдістерді қалаймын","I prefer reliable methods",scale,FALSE,
C_055,BIG5,Conscientiousness,"Я контролирую выполнение обязанностей","Мен міндеттердің орындалуын бақылаймын","I control duty fulfillment",scale,FALSE,
C_056,BIG5,Conscientiousness,"Мне важно сохранять порядок в делах","Істерде тәртіп сақтау маңызды","It is important to keep order in tasks",scale,FALSE,
C_057,BIG5,Conscientiousness,"Я стараюсь работать ответственно","Мен жауапкершілікпен жұмыс істеймін","I try to work responsibly",scale,FALSE,
C_058,BIG5,Conscientiousness,"Я ориентирован на долгосрочные цели","Мен ұзақ мерзімді мақсаттарға бағытталамын","I am oriented toward long-term goals",scale,FALSE,
C_059,BIG5,Conscientiousness,"Я выполняю задачи последовательно","Мен тапсырмаларды бірізді орындаймын","I complete tasks sequentially",scale,FALSE,
C_060,BIG5,Conscientiousness,"Мне важно быть пунктуальным","Ұқыпты болу мен үшін маңызды","Being punctual is important to me",scale,FALSE,
C_061,BIG5,Conscientiousness,"Я заранее оцениваю объем работы","Мен жұмыс көлемін алдын ала бағалаймын","I estimate workload in advance",scale,FALSE,
C_062,BIG5,Conscientiousness,"Я редко нарушаю договоренности","Мен келісімдерді сирек бұзамын","I rarely break agreements",scale,FALSE,
C_063,BIG5,Conscientiousness,"Мне важно соблюдать ответственность","Жауапкершілікті сақтау маңызды","Maintaining responsibility is important",scale,FALSE,
C_064,BIG5,Conscientiousness,"Я предпочитаю планомерную работу","Мен жоспарлы жұмысты қалаймын","I prefer methodical work",scale,FALSE,
C_065,BIG5,Conscientiousness,"Я стараюсь завершать дела в срок","Мен істерді уақытында аяқтауға тырысамын","I try to finish tasks on time",scale,FALSE,
C_066,BIG5,Conscientiousness,"Мне важно следить за качеством","Сапаны бақылау маңызды","Quality control is important to me",scale,FALSE,
C_067,BIG5,Conscientiousness,"Я люблю четкие требования","Мен нақты талаптарды ұнатамын","I like clear requirements",scale,FALSE,
C_068,BIG5,Conscientiousness,"Я работаю по заранее установленному плану","Мен алдын ала белгіленген жоспар бойынша жұмыс істеймін","I work according to a predefined plan",scale,FALSE,
C_069,BIG5,Conscientiousness,"Я стараюсь избегать хаоса","Мен бейберекетсіздіктен қашамын","I try to avoid chaos",scale,FALSE,
C_070,BIG5,Conscientiousness,"Мне важно сохранять контроль","Бақылауды сақтау маңызды","Maintaining control is important to me",scale,FALSE,
C_071,BIG5,Conscientiousness,"Я дисциплинирован в повседневной жизни","Мен күнделікті өмірде тәртіптімін","I am disciplined in daily life",scale,FALSE,
C_072,BIG5,Conscientiousness,"Я тщательно подхожу к решениям","Мен шешімдерге мұқият қараймын","I approach decisions carefully",scale,FALSE,
C_073,BIG5,Conscientiousness,"Мне важно соблюдать порядок в мелочах","Ұсақ-түйекте де тәртіп сақтау маңызды","Order in small things is important to me",scale,FALSE,
C_074,BIG5,Conscientiousness,"Я предпочитаю надежность","Мен сенімділікті қалаймын","I prefer reliability",scale,FALSE,
C_075,BIG5,Conscientiousness,"Я редко отвлекаюсь от задач","Мен тапсырмалардан сирек алаңдаймын","I rarely get distracted",scale,FALSE,
C_076,BIG5,Conscientiousness,"Мне важно быть ответственным человеком","Жауапты адам болу мен үшін маңызды","Being a responsible person is important to me",scale,FALSE,
C_077,BIG5,Conscientiousness,"Я довожу работу до логического завершения","Мен жұмысты логикалық аяқтауға жеткіземін","I bring work to logical completion",scale,FALSE,
C_078,BIG5,Conscientiousness,"Я стараюсь быть собранным","Мен жинақы болуға тырысамын","I try to stay focused",scale,FALSE,
C_079,BIG5,Conscientiousness,"Мне важно соблюдать договоренности","Келісімдерді сақтау маңызды","It is important to honor agreements",scale,FALSE,
C_080,BIG5,Conscientiousness,"Я предпочитаю предсказуемый результат","Мен болжамды нәтижені қалаймын","I prefer predictable outcomes",scale,FALSE,
C_081,BIG5,Conscientiousness,"Я планирую шаги заранее","Мен қадамдарды алдын ала жоспарлаймын","I plan steps ahead",scale,FALSE,
C_082,BIG5,Conscientiousness,"Мне важно быть последовательным","Бірізді болу маңызды","Consistency is important to me",scale,FALSE,
C_083,BIG5,Conscientiousness,"Я серьезно подхожу к работе","Мен жұмысқа байыппен қараймын","I take work seriously",scale,FALSE,
C_084,BIG5,Conscientiousness,"Я предпочитаю продуманные действия","Мен ойластырылған әрекеттерді қалаймын","I prefer deliberate actions",scale,FALSE,
C_085,BIG5,Conscientiousness,"Мне важно соблюдать стандарты","Стандарттарды сақтау маңызды","Following standards is important to me",scale,FALSE,
C_086,BIG5,Conscientiousness,"Я стараюсь выполнять работу аккуратно","Мен жұмысты ұқыпты орындауға тырысамын","I try to work carefully",scale,FALSE,
C_087,BIG5,Conscientiousness,"Я ориентирован на надежность","Мен сенімділікке бағытталғанмын","I am oriented toward reliability",scale,FALSE,
C_088,BIG5,Conscientiousness,"Мне важно доводить планы до реализации","Жоспарларды іске асыру маңызды","It is important to implement plans",scale,FALSE,
C_089,BIG5,Conscientiousness,"Я редко оставляю дела незавершенными","Мен істерді сирек аяқталмаған күйде қалдырамын","I rarely leave tasks unfinished",scale,FALSE,
C_090,BIG5,Conscientiousness,"Я ценю самодисциплину","Мен өзін-өзі тәртіпке келтіруді бағалаймын","I value self-discipline",scale,FALSE,
C_091,BIG5,Conscientiousness,"Я стараюсь соблюдать рабочие правила","Мен жұмыс ережелерін сақтауға тырысамын","I try to follow work rules",scale,FALSE,
C_092,BIG5,Conscientiousness,"Мне важно контролировать качество","Сапаны бақылау маңызды","Quality control is important",scale,FALSE,
C_093,BIG5,Conscientiousness,"Я предпочитаю организованный подход","Мен ұйымдастырылған тәсілді қалаймын","I prefer an organized approach",scale,FALSE,
C_094,BIG5,Conscientiousness,"Я редко нарушаю планы","Мен жоспарларды сирек бұзамын","I rarely deviate from plans",scale,FALSE,
C_095,BIG5,Conscientiousness,"Мне важно быть собранным и внимательным","Жинақы әрі мұқият болу маңызды","Being focused and attentive is important to me",scale,FALSE,
C_096,BIG5,Conscientiousness,"Я довожу дела до конца даже если сложно","Қиын болса да істерді соңына дейін жеткіземін","I finish tasks even when they are difficult",scale,FALSE,
C_097,BIG5,Conscientiousness,"Я предпочитаю ответственность хаосу","Мен бейберекетке қарағанда жауапкершілікті қалаймын","I prefer responsibility over chaos",scale,FALSE,
C_098,BIG5,Conscientiousness,"Мне важно быть надежным в глазах других","Басқалардың көзінде сенімді болу маңызды","It is important to be reliable in others' eyes",scale,FALSE,
